,TP9_theta,TP9_alpha,TP9_beta,TP9_theta_alpha,TP9_beta_alpha,TP9_engagement,AF7_theta,AF7_alpha,AF7_beta,AF7_theta_alpha,AF7_beta_alpha,AF7_engagement,AF8_theta,AF8_alpha,AF8_beta,AF8_theta_alpha,AF8_beta_alpha,AF8_engagement,TP10_theta,TP10_alpha,TP10_beta,TP10_theta_alpha,TP10_beta_alpha,TP10_engagement,alpha_asymmetry,label
1707,5.525412719037352e-05,0.000104591676923,1.793587786194635e-05,0.4783923171029658,0.1762831322751675,0.4360645687758515,6.37075362033569e-05,4.648057006734828e-05,2.224587320979312e-05,1.2104134713106522,0.4742441179679685,0.768387865626883,0.0001030078947532,7.273922592994829e-05,3.289003874311261e-05,1.49662556109959,0.4723262929759144,0.8293013620886472,0.0001707335025345,5.6531867932688825e-05,2.88477925166755e-05,2.936291532505738,0.4728971552398811,0.5316528250770566,-0.0142826014234085,0
1708,0.0001351038721484,0.00013269054535,2.213754663850588e-05,0.9220286514544452,0.1715041988221265,0.3441479846884852,0.0001756185226463,5.586403315174298e-05,2.0377430252638708e-05,2.7762106593420524,0.3614440416485163,0.3791675652768889,0.0001143088190949,7.313973713333718e-05,2.900091355224097e-05,1.6517247071476993,0.414194851030308,0.6974226071366776,9.764206730904205e-05,6.166806128798507e-05,2.9725644892519012e-05,1.5393962672346977,0.4467025600086129,0.7178370741379319,-0.0086496712960116,0
1709,0.0001192608116808,9.048243808841802e-05,2.1695747514308687e-05,1.193575967810473,0.2464878806403553,0.4433767199851969,0.0002028272837947,7.783068076936986e-05,2.1340454839374273e-05,2.301388456034136,0.2716919580254328,0.3191319191520767,9.30555774990524e-05,8.222762735817233e-05,3.028766475459953e-05,1.196013197081066,0.3847640103201397,0.7365890250865251,0.0001189813901293,5.9682709163534105e-05,2.7001331171934176e-05,1.9382253465180768,0.4192606450322227,0.6001639711155258,-0.000322298565632,0
1710,7.169070011785804e-05,9.097962227016614e-05,1.8556199334660008e-05,0.7135678780964003,0.209667031621908,0.4616847913769748,0.0001284650233851,9.31438862632221e-05,2.1274539641358417e-05,1.217993388457485,0.2263235561030424,0.3657337626719204,6.106115884434042e-05,6.557296864141383e-05,2.8532406998892583e-05,0.9841278423864526,0.4545273039416573,0.9293158947086662,0.0001095044284546,5.35597297677288e-05,2.6093922787312724e-05,1.9877742678195456,0.4514903239362062,0.637649160438233,0.019189653121357,0
1711,0.0001128694519811,8.568735149453858e-05,2.2732959409392916e-05,1.1928238013363586,0.2727247196218433,0.4907117442330097,0.0001204492698028,4.965048167542569e-05,2.2530704909808665e-05,2.1423730187400767,0.4496506802458324,0.5502213617675856,6.682094003355679e-05,4.9612782072640215e-05,2.4824438865159428e-05,1.4234110142670209,0.5226756541923535,0.936603231344494,0.0001044307964698,6.672125429666005e-05,2.7334870580981863e-05,1.5217319072309123,0.379664745178016,0.6134401510184775,0.0014892093099606,0
1712,0.0001341317728405,0.0001296061130179,2.207172486131126e-05,0.937179495566136,0.1750636723997901,0.3490400972312841,9.12958439919466e-05,4.974667449069314e-05,2.1653481975537983e-05,1.6206951728595418,0.4313081157073458,0.6115664938163833,8.091837138587973e-05,6.21113016008838e-05,2.6087613803859257e-05,1.3768537922236508,0.4387429372514163,0.7966335156181278,7.776938332864288e-05,8.239906819096849e-05,2.2352159136840646e-05,0.917614174085868,0.2513880514186161,0.4994235604129736,-0.0059023486491727,0
1713,9.854647526987053e-05,9.781248840409765e-05,2.3564995556610048e-05,0.9123540138756592,0.2476613873224139,0.4990229630923862,0.0001067325381863,8.786343412057623e-05,2.322497806199687e-05,1.0727611781810984,0.261921458353728,0.4457101921246446,0.0001038769335731,7.07055875276454e-05,2.581906114649309e-05,1.552661225863003,0.3814460507223725,0.6595494969377542,7.706776105575464e-05,7.646197089641423e-05,2.26442456602278e-05,0.9799434458270904,0.2744478424015006,0.5326202711807376,0.0128252783567334,0
1714,6.359048938264001e-05,5.7942421543971525e-05,2.5443305878573535e-05,0.9938300524891912,0.451400613046889,0.8789435919456366,7.4132700515575e-05,7.873597781008766e-05,2.3472420818189423e-05,0.8314784166272522,0.2953987129029769,0.5512570935505134,0.0001355972277211,7.009846281723979e-05,2.7391429201278335e-05,2.0443424099852265,0.4081808358708172,0.6226786085270735,9.257584936220756e-05,5.336411946484936e-05,2.368376961687615e-05,1.6866389142327878,0.4112907398076182,0.6323134423117445,0.0074757301151188,0
1715,8.561287853726097e-05,0.000164320424547,2.162851776325932e-05,0.4718067506644882,0.1353070595382509,0.3358640420903468,0.000112222173209,5.9701815938563645e-05,2.2648141527379467e-05,1.659990177325826,0.3758970958255231,0.5266987619158874,0.0001355239121499,7.507877930392214e-05,2.8839024749509855e-05,1.907699865936584,0.4012451343473472,0.6328040188099406,0.0001278082538914,6.0411784044642945e-05,2.204964663117154e-05,2.0568896788547772,0.3382419146389234,0.468950198468088,-0.0074042493448321,0
1716,0.000101907454252,0.0002064342112719,1.9197177698335023e-05,0.4470343337770183,0.0955962727235659,0.2404278795043475,0.0001519388474888,6.24292664066023e-05,2.284286135515867e-05,2.1492898159055924,0.3625652805407243,0.4428536155962384,0.0001037263122045,7.812169895269342e-05,2.374894801557249e-05,1.4032290928911504,0.3175551127798297,0.572288424762751,0.0001053020094806,5.219211329958925e-05,2.396726138697586e-05,1.9615777893006487,0.4255601777141865,0.6053111846605537,-0.0075117634109909,0
1717,9.588243892791368e-05,9.604393282224356e-05,2.305077850702915e-05,0.9040360240234528,0.2467180417204559,0.4988954847040708,0.0001024111904445,7.331943566669869e-05,2.3313698601483406e-05,1.233510031159211,0.3150764948153078,0.5064310570899799,0.0001167570224562,9.055218886501138e-05,2.7412238125009065e-05,1.362684702324622,0.3162219083380075,0.5764980243289332,0.0001096093027728,4.9653080755594866e-05,2.587763966495059e-05,2.146223639567467,0.4829764031388985,0.6541184327224049,-0.0081084108891779,0
1718,6.929379740065212e-05,6.913582331333744e-05,2.3076580134872525e-05,0.9076278684065632,0.3431259437011953,0.6927774912935246,8.615112547951099e-05,7.036277838122169e-05,2.02329210596272e-05,1.0812655351196194,0.2849308990932858,0.483363869181516,8.440412120499576e-05,7.612411771382596e-05,3.1446886969524097e-05,1.1717978652301215,0.4315208650022972,0.8321554765442588,9.379289336295378e-05,5.475173525370128e-05,2.406379776592461e-05,1.6655044757159905,0.4072993646215774,0.6300931608944531,-0.0013563745233732,0
1719,0.000102970014975,7.006293324769495e-05,2.161951481156464e-05,1.3308804937491034,0.3172070818430454,0.5421857297324779,0.0001175938972016,6.92590453352425e-05,2.0831476120609766e-05,1.4994178180556093,0.298035148723324,0.4387890541869332,8.57102152125852e-05,5.8701611929544775e-05,2.97934606530033e-05,1.5430993230564645,0.5301726702953339,0.919094543908802,0.0001097354523262,6.793323875848113e-05,2.253503628649124e-05,1.5705016478523404,0.3074138236573773,0.4893259270725845,0.008340446473215,0
1720,0.0001535408663206,9.44219209194752e-05,2.037317976349465e-05,1.4725422169449944,0.2218049492988767,0.3606023768049596,0.000122559223533,5.778144885461974e-05,2.045303957291289e-05,1.8731474184214512,0.3507465213620753,0.4618521922801379,0.0001036824465254,4.478223489307805e-05,3.07029633843884e-05,2.446869429181004,0.7161779460380596,0.9964768610787008,8.833338534798286e-05,5.63584905440214e-05,2.3454219198725488e-05,1.52383968894952,0.3856639794954328,0.6227277053342505,0.0094572006942581,0
1721,0.0001017642826595,6.819117258462617e-05,1.928409362435883e-05,1.3513996949032387,0.2907075558632858,0.4932228361866061,0.0001094519090749,5.616653697532165e-05,1.9567131086329472e-05,1.7209176072830576,0.345202115163615,0.4749865518757562,9.405348803348296e-05,5.5468619871926674e-05,3.2159426392923514e-05,1.7920035604680693,0.6056299525167732,0.9833033253392944,0.0001084330670382,7.162420301650007e-05,2.5064821781485792e-05,1.4718911639320231,0.3243039735421513,0.5321890560423057,0.0020753298101485,0
